Acno,Name,Address,Phone,Email,Aadhar_No,Acc_Type,Status,Balance
1,Soumyadip Malash,"Salboni,Paschim Medinipur",987181818,soumyadipmalash@gmail.com,1234-1243-4545,saving,active,12200.00
2,Swapan Malash,"Salboni,Paschim Medinipur",9673844318,swapanmalashslb@gmail.com,4545-1243-4545,current,active,10000.00
3,Ruma Malash,"Salboni,Paschim Medinipur",4545456,rumamalas@gmail.com,1234-5656-4545,saving,active,10000.00
4,Debabrata Paul,"Tripura,Agartala",4567835467,debabratapaul@gmail.com,2345-6456-8446,saving,active,3200.00
5,Abhinava Chakraborty,Kolkata,8765798764,abhinabachakraborty@gmail.com,4567-9878-5647,current,active,5456.00
6,Shivam Tiwari,"Bhuli,Jharkhand",4567876545,shivamtiwari@gmail.com,4567-8765-9876,current,active,2000.00
7,Goldy Kumar,"Medinipur,WB",4567876756,goldykumar@gmail.com,4567-9876-7689,saving,active,9655.00
8,Ananya Bisoi,"Kharagpur,WB",4567876767,ananyabisoi@gmail.com,3456-8767-5678,saving,active,4000.00
9,Mum,"Medinipur,WB",8767987623,Architabisoi@gmail.com,4567-9876-6789,current,active,5000.00
10,Anjali,Hariyana,3456765676,anjali@gmail.com,4567-0987-7896,saving,active,7000.00
